reactant1,reactant2,temperature,k,row
MIm,MeSCN,300,0.452,1
MIm,MeSCN,310,1.076,2
MIm,MeSCN,320,2.84,3
MIm,MeSCN,330,5.274,4
MIm,MeSCN,340,11.585,5
MIm,MeSCN,350,23.555,6
MIm,MeSCN,360,38.119,7
MIm,EtSCN,320,0.284,8
MIm,EtSCN,330,0.633,9
MIm,EtSCN,340,1.638,10
MIm,EtSCN,350,4.822,11
MIm,EtSCN,360,7.816,12
MIm,BuSCN,330,0.25,13
MIm,BuSCN,340,1.093,14
MIm,BuSCN,350,2.166,15
MIm,BuSCN,360,4.449,16
EIm,MeSCN,300,0.34,17
EIm,MeSCN,320,2.146,18
EIm,MeSCN,340,9.132,19
EIm,MeSCN,360,33.411,20
BIm,MeSCN,300,0.222,21
BIm,MeSCN,320,1.729,22
BIm,MeSCN,340,8.759,23
BIm,MeSCN,360,32.267,24
